Total_carbon_emissions,CSR_board_size,Indirect_carbon_emissions,Disclosure_scores,Controversy_level,Disclosure_of_R&D,Renewal_energy,Environmental_scores,Climate_change_policy,Waste_management,Planning_zero_carbon,Issue_green_bonds,Direct_carbon_emissions,MSCI_ESG_index,CSR_commitee,Water_treatment,Scope3_carbon_emissions,Biodiversity,Net_zero_targets,Govt_collaboration,ESG_funds,GHG_sales,Recycling,SDG_targets,Dow_jones_sustainability_index,Energy_conservation,Risk_score
38045.5,5,263.61,62.99,2,1,0,51.77,1,1,0,0,35781.9,3,1,1,4162.19,0,1,1,504,977.09,0,3,1,1,26.13
341.22,0,326.42,41.82,2,0,0,27.97,0,0,0,0,14.8,0,0,0,0.0,0,0,0,139,22.64,0,1,1,0,16.2
0.0,0,0.0,37.85,2,0,0,16.97,0,1,0,0,0.0,3,0,1,0.0,1,0,1,768,3.63,0,3,1,1,22.57
0.0,0,0.0,31.73,1,0,0,0.0,0,0,0,0,0.0,3,0,0,0.0,0,1,0,544,20.94,0,3,1,0,17.24
0.0,0,0.0,37.16,3,0,0,15.28,0,1,0,0,0.0,3,0,0,0.0,0,0,0,375,10.62,1,0,1,1,21.4
0.0,0,0.0,33.19,2,0,0,0.0,0,0,0,0,0.0,3,0,0,0.0,0,0,0,618,60.64,0,3,1,0,17.11
0.0,0,0.0,32.25,2,0,0,1.24,0,1,0,0,0.0,3,0,0,0.0,0,0,0,587,50.99,0,3,1,1,15.08
51958.0,0,10308.6,62.64,2,0,0,65.99,1,1,0,0,41649.5,3,0,1,29592.3,1,1,1,397,3316.97,0,3,1,1,25.38
227.36,0,143.72,39.01,1,1,0,20.05,1,0,0,0,83.65,3,0,0,4113.43,0,0,0,718,21.7,0,1,1,1,25.09
0.0,0,0.0,0.0,0,0,1,0.0,1,0,0,0,0.0,3,0,0,0.0,0,0,1,579,0.0,0,3,1,0,0.0
33572.0,4,1715.0,64.09,2,0,0,63.36,1,1,0,0,31857.0,3,1,1,13631.0,1,1,0,300,2495.63,0,3,1,1,25.41
0.0,5,0.0,70.03,2,0,0,66.45,1,1,1,0,0.0,3,1,1,0.0,0,1,1,344,3789.42,0,3,1,1,27.63
6966.28,4,2816.25,54.42,3,0,0,49.47,1,1,0,0,4150.03,3,1,1,2353.55,1,1,0,568,222.38,0,3,1,1,28.95
0.0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,3,1,0,0.0
7500.0,11,1400.0,61.16,2,0,0,58.62,1,1,0,0,6100.0,3,1,1,9874.08,1,1,0,345,799.76,1,3,1,1,24.36
123.44,0,96.28,52.02,2,1,1,38.66,0,1,0,0,27.16,3,0,1,581.17,1,1,0,1008,5.35,0,3,1,1,17.11
641.18,5,247.2,68.31,2,1,0,72.91,1,1,0,0,393.98,3,1,1,6262.9,1,1,0,1183,38.19,0,3,1,1,24.09
3200.0,0,1300.0,56.25,3,0,1,34.25,1,0,0,0,1900.0,3,0,1,16600.0,1,0,1,608,180.64,0,1,1,1,27.43
0.0,3,0.0,32.58,2,0,0,0.0,0,0,0,0,0.0,3,1,0,0.0,0,0,0,1019,25.96,0,1,1,0,10.36
1473.0,0,990.0,59.26,2,0,0,43.1,1,1,0,0,483.0,3,0,1,259.0,1,1,1,1112,30.08,1,3,1,1,32.4
0.0,0,0.0,33.32,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,147,34.04,0,1,1,0,0.0
627.28,0,506.66,49.7,2,0,0,30.32,0,1,0,0,120.62,3,1,0,0.0,0,0,1,711,48.29,0,3,1,1,29.47
0.0,0,0.0,18.61,0,0,0,0.33,0,0,0,0,0.0,0,0,0,0.0,0,0,0,21,566.47,0,3,1,0,0.0
36650.0,0,3550.0,60.12,2,0,0,40.95,1,1,0,0,33100.0,3,0,1,942.47,1,1,0,440,3569.12,0,1,1,1,29.8
0.0,3,0.0,32.41,0,0,0,16.1,0,0,0,0,0.0,0,1,0,0.0,0,0,1,41,626.17,0,1,1,0,0.0
0.0,0,3300.0,53.76,1,0,0,28.15,1,1,0,0,0.0,3,0,1,0.0,0,1,0,505,416.08,0,1,1,1,36.25
1770.93,0,1756.17,50.87,1,1,1,32.5,1,1,0,0,14.77,3,0,1,134.24,1,1,0,1060,418.53,0,1,1,1,11.79
141.51,6,104.81,53.74,2,0,1,47.9,1,1,1,0,36.7,3,1,1,51.5,1,0,0,1002,5.36,1,3,1,1,25.91
1255.97,0,542.57,65.81,2,0,0,56.54,1,1,0,0,713.4,3,0,1,19002.9,1,1,1,842,88.97,0,3,1,1,19.05
16721.0,6,6521.0,70.88,3,0,0,66.32,1,1,0,0,10200.0,3,1,1,105232.0,1,0,0,625,172.85,0,3,1,1,24.39
42.65,3,38.31,41.65,2,0,0,20.18,0,1,0,0,4.33,3,1,0,0.0,0,0,1,825,3.51,0,1,1,1,15.78
125000.0,5,8000.0,62.61,3,0,0,44.67,1,1,0,0,117000.0,3,1,1,0.0,1,0,1,531,692.79,0,3,1,1,36.47
0.0,0,0.0,33.1,2,0,0,0.91,0,1,0,0,0.0,3,0,0,0.0,0,0,0,803,49.57,1,1,1,1,26.4
15122.8,0,1094.11,60.63,2,0,0,63.7,1,1,0,0,14028.7,3,0,0,5213.42,0,1,1,667,308.59,1,3,1,1,20.45
0.0,0,0.0,36.3,1,0,0,0.0,0,0,0,0,0.0,3,0,0,0.0,0,0,0,428,12.84,0,1,1,0,23.94
0.0,0,0.0,35.64,1,0,0,14.38,0,0,0,0,0.0,3,0,0,0.0,0,1,0,769,7.17,0,1,1,0,18.08
